serial_number,thumbprint,subject_cn,issuer_cn,Reason
08d4352185317271c1cec9d05c279af7,ec5200a97ca26f55a1ab0ad7923d9447fea473cc2e42dca69a70defe014624d6,Retalit LLC,DigiCert EV Code Signing CA (SHA2),BuerLoader
90212473c706f523fe84bdb9a78a01f4,6b18e9451c2e93564ed255e754b7e1cf0f817abda93015b21ae5e247c75f9d03,"DEMUS, OOO",COMODO RSA Code Signing CA,Cerber
5c9f5f96726a6e6fc3b8bb153ac82af2,285925b7c7c692f8d71d980dcf2ddb4c208a0f7b826ead34db402755d1a0f6de,1105 SOFTWARE LLC,SSL.com EV Code Signing Intermediate CA RSA R3,IcedID
2a2f270535c2d5e7630720fb229b5d1c,73a0cc4495a49492806b970fd844a0ab078126930305d22c7bf68b43c337fc1a,KOZUZ SP. Z O.O.,Certum Extended Validation Code Signing 2021 CA,IcedID
4659fa5fc1e0397df79fd6a4083d93b0,fa5f2dbe813b0270b1f9e53da1be024fb495e8b1848bb3c9c7392a40c8f7e8e6,Incuber Services LLP,Sectigo Public Code Signing CA R36,RedLineStealer
651f3e5b491b197d20c49b9c7b25b775,0ee11d5917c486b7a57b7c3c566acec251170e98a577164f36b7d7d34f035499,Rhynedahll Software LLC,SSL.com EV Code Signing Intermediate CA RSA R3,NetSupport
1966bc76bda1a708334792da9a336f69,2b605cc585ad6b73fe4b6b1c446bec2a61e408bdfe970e970f8e5c81b370068f,SYNTHETIC LABS LIMITED,SSL.com Code Signing Intermediate CA RSA R1,Havoc
67936a84bed66ef021dbe771de331772,8fff75906628b764e99a7a028112a8ec7794097e564f0f897c24c2baaa82ded8,"APEX SOFTWARE DESIGN, LLC",SSL.com EV Code Signing Intermediate CA RSA R3,IcedID
8538a6c5018f50fc,d42519dac24abc5c1ebfc6e0da0fd2e7cfb9db50c0598948c6630fdc132c7f94,"Trading Technologies International, Inc.",Go Daddy Secure Certificate Authority - G2,Malware
fecc3b3c675f7ffd7de22507f3fdacd7,6b8cc2be066ff0bf1d884892fc600482fc34eaddb3a5e6681b509d64795b01d4,Gromit Electronics Limited,Sectigo Public Code Signing CA R36,RemcosRAT
5294f0f841f29855e33a18402421949a,df744f6b9430237821e3f2bc6edafb4a92354dda1734a60d5e0d816256aefb47,Integrated Plotting Solutions Limited,Sectigo Public Code Signing CA R36,RemcosRAT
1614ef66b2c4b886e71a93dd34869f48,1689697e08dda6d1233c0056078ddf25b12c3608ead7d96ed4cbbb074e54ce29,SHIRT AND CUFF LIMITED,Sectigo Public Code Signing CA R36,RemcosRAT
be2f22c152bb218b898c4029056816a9,3c5adc58c3499c4289905149f53253ba6692821aed8908c3ea9f6aba4d74da4e,Marts GmbH,Sectigo Public Code Signing CA R36,TrueBot
40e27b7404aa9b485f8a2fc0c8e53af3,1c46f0a782730fd80b70849ca2133c5f8ba81feaebababb95157a24eaea682e7,"Southern Wall Systems, LLC",SSL.com EV Code Signing Intermediate CA RSA R3,IcedID
65cfd8419d70ce4011d97bc79d18315e,7cff10e37a43843e971f02ca6ad6510f08a5209d21745181fc4d003a8287cd1b,FACE AESTHETICS LTD,Sectigo Public Code Signing CA R36,BumbleBee
01cf0b0f01b20b70bfaa69722979ef5c,ef10480ab6448e60bdc689fc54cb6cfc4a8e1d39ddc788ce3d060ab4b7d30b59,PET PLUS PTY LTD,DigiCert EV Code Signing CA (SHA2),Ryuk
698ff388adb50b88afb832e76b0a0ad1,479e01dde7e7529ed4ad111a2d7b3b16fdc6fbe2ed0d6ff015c1c823ca0939db,BELLAP LIMITED,SSL.com Code Signing Intermediate CA RSA R1,IcedID
5143cf38d5fd26858830826632be9fda,57a8aa854f3198f069bb34bc763b7773a8cfdafb562ee0ccf24a5067d45d5e3c,DIGI CORP MEDIA LLC,SSL.com EV Code Signing Intermediate CA RSA R3,BumbleBee
3628b93bcd902b6b3e1ffdf2e13dfcf5,27b75dc1d31a581f6e02bba3c03a62174ee4456021c7de50922caa10b98f8f7a,"AMCERT,LLC",Sectigo Public Code Signing CA R36,Malware
a32b8b4f1be43c23eb2848ab4ef06bb2,f7a578c93fd98ade3d259ac47f152d8c9115bc5df7e2f57d107a66db3f833f0f,Pak El AB,Sectigo Public Code Signing CA EV R36,NetSupport RAT
17ccecc181ed65a357edf3b01df62cc9,b64bd77a58c90f76afd6c4ce0b38c54c3c6088b818d0b83e5435d89e3dc01cda,"AMCERT,LLC",Sectigo Public Code Signing CA R36,RedLineStealer
5da173eb1ac76340ac058e1ff4bf5e1b,ac2fb59e222285522c8ccdd03cad508aef0a19ad9a8951f487923459336295ed,ALISA LTD,Sectigo RSA Code Signing CA,LockerGoga
332bd5801e8415585e72c87e0e2ec71d,47338c1a0ea425c47dede188d10ca95288514f369fe8a5105752bd8d906b8cbc,"Elite Marketing Strategies, Inc.",Certum Extended Validation Code Signing 2021 CA,NetSupport
0139dde119bb320dfb9f5defe3f71245,23d13a8e48a6eff191a5d6a0635b99467c2e7242ae520479cae130fbd41cc645,"Hangil IT Co., Ltd",Sectigo Public Code Signing CA R36,RedLineStealer
2f96a89bfec6e44dd224e8fd7e72d9bb,f13e4801e13898e839183e3305e1dda7f4c0ebf6eaf7553e18c1ddd4edc94470,NAILS UNLIMITED LIMITED,Sectigo Public Code Signing CA R36,Gozi
626735ed30e50e3e0553986d806bfc54,a1488004ec967faf6c66f55440bbde0de47065490f7c758f3ca1315bb0ef3b97,FISH ACCOUNTING & TRANSLATING LIMITED,Sectigo Public Code Signing CA R36,Quakbot
4a2e337fff23e5b2a1321ffde56d1759,67099e0c41c102535d388fab1de576433f2ded2b08fb7da1bf66e3bdaba4eeb4,Karolina Klimowska,Certum Extended Validation Code Signing 2021 CA,IcedID
967cb0898680d1c174b2baae5fa332db,c231f1e6cc3aec983d892e1bc3bb1815335fb24e3e2f611d79bade9a07cbd819,James Caulfield,Sectigo RSA Code Signing CA,Babadeda
890570b6b0e2868a53be3f8f904a88ee,f291d21d72dcefc369526a97b7d39214544b22057757ac00907ab4ff3baa2edd,JESEN LESS d.o.o.,Sectigo Public Code Signing CA R36,Quakbot
7d27332c3cb3a382a4fd232c5c66a2,935af7361c09f45dcf3fa6e4f4fd176913c47673104272259b40de55566cabed,MALVINA RECRUITMENT LIMITED,Sectigo Public Code Signing CA R36,Silence
ede6cfbf9fa18337b0fdb49c1f693020,5fcbe36c0c921ccaf5406d1245f8fdd0a7a3281bad3ca6b56dc43e65cc8b1fe7,START ARCHITECTURE LTD,Sectigo RSA Code Signing CA,Servhelper
40f5660a90301e7a8a8c3b42,2ac041e3c46c82fbcee34617ee31336e845e18efe6b9ae5c8811351db5b56da2,Booz Allen Hamilton Inc.,GlobalSign GCC R45 CodeSigning CA 2020,Cobalt Strike
dfc1f1b0f205cc17ed7d216bb991f859,b577362c1abcfb7d163b8702f23a6a3643c72ea0a3c8cf262092903a3110fa04,Astori LLC,COMODO RSA Code Signing CA,PrivateLoader
e573d9c8b403c41bd59ffa0a8efd4168,a9ab2be0ea677c6c6ed67b23cfee0fa44bfb346a4bb720f10a3f02a78b8f5c82,"\VERONIKA 2\"" OOO""",Sectigo RSA Code Signing CA,Dridex
2f38de4ced0b070973b9e9b9b1dcfa7f,71382f6c6e48df51f15606380cd6948bf37f044d18566ebc2d262fc87e70b9b1,Fahad Malik,Sectigo RSA Code Signing CA,Gh0stRAT
53e1f226cb77574f8fbeb5682da091bb,d247ec7e224a24683da3f138112ffc9607f83c917d6c45494dd744d732249260,OdyLab Inc,SSL.com EV Code Signing Intermediate CA RSA R3,SystemBC
df2547b2cab5689a81d61de80eaaa3a2,4c6e21a6e96ea6fae6c142c2d1c919f590d9bf4e5c6b0f3ec7f9b0a38f3ce45d,FORWARD MUSIC AGENCY SRL,Sectigo Public Code Signing CA R36,IcedID
